"id";"name";"strasse";"plz";"ort"
"62";"Gymnasium Hummelsbüttel, 22339 Hamburg";NULL;"22339";"Hamburg"
"63";"Gymnasium Ohlstedt";NULL;"22397";"Hamburg"
"64";"Gymnasium Rahlstedt, 22147 Hamburg ";"Scharbeutzer Str. 36";"22147";"Hamburg"
"65";"Lise-Meitner-Gymnasium Hamburg";NULL;"22549";"Hamburg"
"66";"Albrecht-Thaer-Gymnasium";NULL;"22527";"Hamburg"
"67";"Gymnasium Süderelbe";"Falkenbergsweg 5";"21149";"Hamburg"
"68";"Abendgymnasium vor dem Holstentor, Holstenglacis 6, ";"Holstenglacis 6";"20355";"Hamburg"
"69";"Gymnasium Lohbrügge";NULL;"21031";"Hamburg"
"70";"Carl-von-Ossietzky Gymnasium Hamburg";NULL;"22399";"Hamburg"
"71";"Heinrich-Hertz-Schule";NULL;"22303";"Hamburg"
"72";"Niels-Stensen Gymnasium";NULL;"21075";"Hamburg"
"73";"Gymnasium Osterbek, 22179 Hamburg";NULL;"22179";"Hamburg"
"74";"Stadtteilschule Kirchwerder";NULL;"21037";"Hamburg"
"75";"Geschwister-Scholl-Stadtteilschule";NULL;"22549";"Hamburg"
"76";"Stadtteilschule Walddörfer";"Ahrensburger Weg 30";"22359";"Hamburg"
"77";"Gyula Trebitsch Schule Tonndorf";NULL;"22159";"Hamburg"
"78";"Goethe-Schule-Harburg";"Bunatwiete 20";"21073";"Hamburg"
"79";"Ida-Ehre-Schule Hamburg";NULL;"20144";"Hamburg"
"80";"Oberstufe Langenhorn";NULL;"22419";"Hamburg"
"81";"Gymnasium Grootmoor";NULL;"22175";"Hamburg"
"82";"Nelson-Mandela-Schule Hamburg";"Neuenfelder Str. 106";"21109";"Hamburg"
"83";"Stadtteilschule Bahrenfeld";"Regerstraße 21 – 25";"22761";"Hamburg"
"84";"Brecht-Schule Hamburg";"Norderstraße 163-165";"20097";"Hamburg"
